id,name,rating,address,city,lat,long
150,i-tea-san-jose,4,2936 Aborn Square Rd,San Jose,373.122.516.785.924,-121809769305956
152,createave-cafe-san-jose-4,4,1698 Hostetter Rd,San Jose,373.869.800.203.948,-121883576139808
153,tleaf-teapresso-san-jose-3,4,860 Blossom Hill Rd,San Jose,372.486.885.993.529,-121857970789389
155,teatop-san-jose-2,4,6158 Bollinger Rd,San Jose,373.086.570.138.301,-122012592169713
156,bubbly-san-jose-4,4,1816 Tully Rd,San Jose,3.732.229,-12182405
157,vampire-penguin-featuring-jastea-san-jose,4,2671 Cropley Ave,San Jose,374.041.770.427.227,-121881933087311
158,simply-boba-san-jose,4,3005 Silver Creek Rd,San Jose,373.088.546.673.824,-121813202547221
161,shincha-tea-san-jose-3,4,2487 Alvin Ave,San Jose,373.191.772.792.232,-121827041554832
162,sharetea-santa-clara-3,4,1171 Homestead Rd,Santa Clara,373.486.599.999.999,-12194616
163,chatime-san-jose-san-jose-3,4,311 N Capitol Ave,San Jose,373.697.020.772.431,-121845367355225
165,t-spot-boba-drinks-and-snacks-san-jose,4,2520 Berryessa Rd,San Jose,373.879.799,-1218588819
166,meow-tea-san-jose,4,2857 Senter Rd,San Jose,3.729.956,-12184016
170,bfresh-snacks-and-drinks-san-jose,4,3005 Silver Creek Rd,San Jose,373.086.471.557.617,-121813461303711
171,beibay-tea-san-jose,4,1180 Blossom Hill Rd,San Jose,372.497.081.431.029,-121879286774857
176,soyful-desserts-san-jose-8,4,3005 Silver Creek Rd,San Jose,373.090.745.900.201,-121814426575475
177,oooh-san-jose-4,4,1783 E Capitol Expwy,San Jose,37.309.508,-121809918
178,the-tea-zone-lounge-san-jose,4,403 N Capitol Ave,San Jose,373.720.189.850.199,-121846125258572
180,tapioca-express-san-jose-8,4,81 Curtner Ave,San Jose,373.030.374.782.512,-121864601250072
184,morimoto-napa-napa,4,610 Main St,Napa,3.829.671,-12228328
190,sushi-grill-vallejo,4,5184 Sonoma Blvd,Vallejo,381.480.882.615.897,-122252996214118
195,westea-pleasanton,4,4233 Rosewood Dr,Pleasanton,376.983.805.506.637,-121874124370515
197,i-tea-dublin-dublin,4,4064 Grafton St,Dublin,377.031.989.556.317,-121865862095172
199,i-tea-pleasanton,4,915 Main St,Pleasanton,376.659.098.999.999,-12187418
201,tea-factory-dublin-2,4,8945 San Ramon Rd,Dublin,377.222.341,-1219419009
202,icicles-pleasanton,4,600 Main St,Pleasanton,37.661.346,-12187506
203,sharetea-dublin-3,4,7375 Amador Valley Blvd,Dublin,377.103.898.999.999,-121927439999999
208,360-crepes-pleasanton-3,4,3120 Santa Rita Rd,Pleasanton,376.905.054,-1218774678
210,i-tea-san-ramon-3,4,21001 San Ramon Valley Blvd,San Ramon,377.241,-12194435
213,cafe-taiwan-pleasanton-9,4,3550 Stanley Blvd,Pleasanton,37.669.658,-121858772
214,cafe-junction-pleasanton-3,4,5321 Hopyard Rd,Pleasanton,376.994,-1219048344
215,o-honey-dublin,4,3862 Fallon Rd,Dublin,377.049.564.521.021,-121851537924141
216,the-mix-creamery-dublin-2,4,6601 Dublin Blvd,Dublin,377.043.802.396.398,-121911554932594
217,tasty-pot-dublin,4,4288 Dublin Blvd,Dublin,37.704.566,-12187545
220,menchies-frozen-yogurt-dublin,4,3742 Fallon Rd,Dublin,377.037.210.589.332,-121851480491459
221,blossom-bee-dublin,4,7335 Village Pkwy,Dublin,37.710.858.467.095,-121926419734955
225,kee-wah-bakery-dublin,4,4288 Dublin Blvd,Dublin,377.045.783.996.582,-121875808715819
226,blush-organic-frozen-yogurt-dublin,4,4640 Tassajara Rd,Dublin,377.080.099.999.999,-1218731
230,yogurtland-dublin,4,6851 Amador Plz Rd,Dublin,3.770.584,-121927089999999
233,pho-99-dublin-5,4,7459 Amador Valley Blvd,Dublin,37.710.269,-12192861
234,tandoori-pizza-dublin,4,4060 Grafton St,Dublin,377.031.417.208.061,-121866024709375
236,amakara-dublin,4,7222 Regional St,Dublin,377.050.599.999.999,-121934869999999
241,tasty-pot-newark,4,34909 Newark Blvd,Newark,375.508,-1220509
242,icicles-newark,4,39055 Cedar Blvd,Newark,3.752.314,-12200792
245,crepe-bar-newark,4,2078 Newpark Mall,Newark,375.282.307.999.999,-122000245799999
251,jenjons-cafe-union-city,4,1704 Decoto Rd,Union City,37.589.058.513.675,-12201876368886
252,k-pop-cafe-fremont,4,35041 Fremont Blvd,Fremont,37.570.362,-1220318791
254,boba-guys-san-carlos-2,4,872 Laurel St,San Carlos,375.027.402.543.983,-122256980158539
259,sharetea-palo-alto-2,4,540 Bryant St,Palo Alto,37.445.381,-122160993999999
260,chatime-redwood-city-2,4,2202 Broadway St,Redwood City,37.487.118,-122229624
261,eko-coffee-bar-and-tea-house-hayward,4,1075 B St,Hayward,376.737.070.083.617,-122081397101283
262,tea-era-cupertino,4,20916 Homestead Rd,Cupertino,373.371.504.153.713,-122040352492869
263,fantasia-coffee-and-tea-cupertino,4,10933 N Wolfe Rd,Cupertino,373.361.159.244.324,-122015890307528
267,ten-ren-tea-cupertino,4,10881 N Wolfe Rd,Cupertino,373.356.484.303.065,-122014956682871
275,t4-cupertino-cupertino,4,19505 Stevens Creek Blvd,Cupertino,3.732.328,-12201283
276,sharetea-sunnyvale-3,4,568 El Camino Real,Sunnyvale,373.623.572.836.214,-122027256087022
279,bubble-tea-time-saratoga,4,18564 Prospect Rd,Saratoga,3.729.165,-12199636
